"","ids","BsmtFinSF1","BsmtFinSF2","BsmtUnfSF","X1stFlrSF","X2ndFlrSF","GarageArea","WoodDeckSF","ScreenPorch","SalePrice","homeage","MSZoningisFV","MSZoningisRL","MSZoningisRM","LotConfigisCulDSac","NeighborhoodisNoRidge","NeighborhoodisNridgHt","NeighborhoodisStoneBr","Condition1isNorm","YearRemodAddis1976","YearRemodAddis2008","YearRemodAddis2009","RoofMatlisCompShg","RoofMatlisRoll","RoofMatlisTar&Grv","Exterior1stisCemntBd","Exterior2ndisCmentBd","BsmtQualisFa","BsmtQualisGd","BsmtQualisTA","BsmtExposureisGd","FullBathis3","BedroomAbvGris3","BedroomAbvGris5","BedroomAbvGris6","TotRmsAbvGrdis7","TotRmsAbvGrdis8","TotRmsAbvGrdis9","FunctionalisTyp","Fireplacesis2","GarageTypeisAttchd","GarageTypeisDetchd","GarageYrBltis1918","GarageYrBltis1934","GarageFinishisRFn","GarageFinishisUnf","GarageCarsis3","MoSoldis5"
"11",11,906,0,134,1040,0,384,0,0,76536.1906844522,45,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"13",13,737,0,175,912,0,352,140,176,88930.609421704,48,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"15",15,733,0,520,1253,0,352,0,0,93995.653449401,50,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
"16",16,0,0,832,854,0,576,48,0,72927.7738797023,81,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"17",17,578,0,426,1004,0,480,0,0,103763.336026073,40,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"18",18,0,0,0,1296,0,516,0,0,48896.8331151086,43,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"19",19,646,0,468,1114,0,576,0,0,95467.9731969162,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"20",20,504,0,525,1339,0,294,0,0,93801.6668353747,52,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
"22",22,0,0,637,1108,0,280,0,0,76784.1011743451,80,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
"23",23,0,0,1777,1795,0,534,171,0,142041.945604111,8,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
"24",24,840,0,200,1060,0,572,100,0,71551.3252693503,34,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
"25",25,188,668,204,1060,0,270,406,0,104742.66631299,42,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
"26",26,0,0,1566,1600,0,890,0,0,170009.817188039,3,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
"27",27,234,486,180,900,0,576,222,0,91683.8403830589,59,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
"28",28,1218,0,486,1704,0,772,0,0,208125.038258279,3,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1
"29",29,1277,0,207,1600,0,319,288,0,113242.557371681,53,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0
"30",30,0,0,520,520,0,240,49,0,41010.8424285603,83,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
"31",31,0,0,649,649,668,250,0,0,24136.2248530707,90,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"32",32,0,0,1228,1228,0,271,0,0,89673.8477796191,44,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
"33",33,0,0,1234,1234,0,484,0,0,105150.565790704,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
"34",34,1018,0,380,1700,0,447,0,0,113827.848275388,51,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"35",35,1153,0,408,1561,0,556,203,0,153958.82225662,5,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"36",36,0,0,1117,1132,1320,691,113,0,167746.978925768,6,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
"37",37,0,0,1097,1097,0,672,392,0,96789.2664041119,16,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
"38",38,1213,0,84,1297,0,498,0,0,102967.205281612,56,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"39",39,731,0,326,1057,0,246,0,0,75170.8585339614,57,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"40",40,0,0,0,1152,0,0,0,0,49235.0553594159,55,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"41",41,643,0,445,1324,0,440,0,0,87319.5623106939,45,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"42",42,967,0,383,1328,0,308,0,0,93922.1330268894,51,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0
"43",43,747,93,0,884,0,504,240,0,83069.4148798089,27,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"44",44,280,491,167,938,0,308,145,0,78593.5821778116,35,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"45",45,179,506,465,1150,0,300,0,0,76472.0876879939,51,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
"46",46,456,0,1296,1752,0,576,196,0,223617.159593728,5,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"47",47,1351,0,83,1518,631,670,168,198,159077.997239036,7,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"48",48,24,0,1632,1656,0,826,0,0,137955.038922437,4,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
"50",50,763,0,192,955,0,386,0,0,69503.7324051575,44,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
"51",51,182,0,612,794,676,388,0,0,97789.5149750554,13,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"52",52,0,0,816,816,0,528,112,0,62158.6701844674,76,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"53",53,104,712,0,816,0,516,106,0,74816.1902235644,47,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
"54",54,1810,0,32,1842,0,894,857,0,209652.738827143,29,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"55",55,384,0,0,1360,0,572,0,0,71241.8551379078,55,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"56",56,490,0,935,1425,0,576,0,0,108914.714649482,46,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
"57",57,649,0,321,983,756,480,115,0,114487.097801848,11,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
"58",58,0,0,860,860,860,565,0,0,106554.310162516,6,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
"60",60,632,0,148,780,0,352,196,0,73003.3666884878,38,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"62",62,0,0,530,581,530,288,0,0,55433.5894621295,90,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"63",63,24,0,1346,1370,0,484,120,0,114058.161213466,4,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"64",64,0,0,576,902,808,480,12,0,96289.4184806905,89,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0
"65",65,739,0,318,1057,977,645,576,0,148683.524239817,13,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
"66",66,0,0,1143,1143,1330,852,192,0,178550.306689722,6,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
"67",67,912,0,1035,2207,0,576,301,0,121996.678979294,40,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"68",68,1013,0,440,1479,0,558,144,0,124484.984687245,7,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
"69",69,0,0,747,747,0,220,0,0,54167.5130340578,65,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
"70",70,603,0,701,1304,983,667,0,0,121875.253906779,57,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
"71",71,1880,0,343,2223,0,516,300,0,133715.48195115,37,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
"72",72,565,0,280,845,0,360,0,0,71330.9978628242,28,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"73",73,0,0,832,885,833,427,0,291,126125.757606747,12,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
"74",74,320,362,404,1086,0,490,0,0,98553.3269399498,56,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
"75",75,0,0,840,840,765,379,0,0,73047.8075455529,95,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
"76",76,462,0,0,526,462,297,120,0,61507.6817011267,37,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"77",77,228,0,724,952,0,283,0,0,81126.6292557864,54,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"78",78,336,41,295,1072,213,240,0,0,74230.8051996633,62,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"79",79,0,0,1768,1768,0,0,0,0,93882.1830186733,42,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"80",80,0,0,440,682,548,440,74,0,74231.5349056922,100,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
"81",81,448,0,448,1182,960,509,0,252,129163.607235832,42,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
"82",82,1201,0,36,1337,0,405,0,0,83993.6088250744,12,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"83",83,33,0,1530,1563,0,758,144,0,153922.511010171,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
"84",84,0,0,1065,1065,0,461,74,0,69889.1166347147,50,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"85",85,0,0,384,804,670,400,120,0,113709.21483281,15,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
"86",86,0,0,1288,1301,1116,462,127,0,141574.41641392,19,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
"87",87,0,0,684,684,876,400,100,0,118749.445494687,5,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"89",89,0,0,1013,1013,0,0,0,0,57204.0029342289,95,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"90",90,588,0,402,990,0,0,0,0,68574.0916429487,16,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"91",91,0,0,0,1040,0,420,0,0,59529.2906860223,60,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"92",92,600,0,635,1235,0,480,0,0,53810.6802739651,49,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
"93",93,713,0,163,964,0,432,0,0,108513.857916534,89,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"94",94,1046,0,168,1260,1031,506,0,99,76438.284220261,100,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0
"95",95,648,0,176,905,881,684,0,0,112566.797880061,13,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
"96",96,310,0,370,680,790,420,232,0,125887.164272542,17,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"97",97,1162,0,426,1588,0,472,158,0,116043.879769864,11,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"98",98,520,0,440,960,0,432,120,0,52091.3509115299,45,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
"99",99,108,0,350,835,0,366,0,0,56452.2162595986,90,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
"100",100,569,0,381,1225,0,0,352,0,88929.1945683883,51,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"101",101,1200,0,410,1610,0,480,168,0,143299.523965972,33,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0
"102",102,0,0,741,977,755,476,192,0,120522.716500779,25,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
"103",103,0,0,0,1535,0,410,0,0,79409.919231026,31,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
"104",104,0,0,1226,1226,0,740,0,0,135281.274867881,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1
"105",105,224,0,816,1226,592,240,0,184,93363.7385154339,79,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0
"106",106,0,0,1053,1053,939,648,140,0,152169.017170752,7,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0
"107",107,0,0,641,1047,0,273,0,0,55480.6566690523,125,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"109",109,0,0,793,997,520,0,0,0,63802.7551694102,91,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"110",110,705,0,1139,1844,0,546,0,0,131031.771756446,33,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
"111",111,444,0,550,1216,639,325,182,0,74377.5161495374,56,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
"112",112,250,0,134,774,656,400,180,0,123800.680903745,10,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"114",114,35,869,905,2259,0,450,166,0,122225.288806529,57,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0
"115",115,774,150,104,1436,884,180,224,0,143369.373649869,65,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0
"116",116,419,0,310,729,729,440,0,0,96944.058871483,11,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"117",117,170,670,252,1092,0,288,0,0,92895.1888311914,48,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
"119",119,1470,0,203,1699,1523,594,367,0,217647.098832187,20,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1
"121",121,938,0,0,988,0,540,0,0,97793.6662302171,41,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0
"122",122,0,0,732,772,351,264,0,0,55081.8516315244,71,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"123",123,570,0,510,1080,0,288,0,130,81658.1405961044,52,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
"124",124,300,0,899,1199,0,530,0,0,91654.6068499759,17,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"125",125,0,0,1362,1586,0,435,192,0,121173.170519438,31,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
"126",126,490,0,30,520,0,0,53,0,45786.8014803496,75,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"127",127,120,0,958,958,0,440,0,0,70145.8265973246,34,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"128",128,116,0,556,840,0,0,0,0,47921.2109194263,80,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"129",129,512,0,148,660,688,453,188,0,83958.5082468922,44,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"130",130,567,28,413,1053,0,750,0,0,81250.169271186,52,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"131",131,445,0,479,1216,941,487,105,0,122572.282393522,44,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1
"132",132,695,0,297,1022,1032,390,24,0,161850.937939452,10,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"133",133,405,0,658,1327,0,624,0,0,83286.8326694328,51,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
"134",134,1005,0,262,1296,0,471,192,0,146852.680061411,9,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
