YEAR	TICKET_SALES	CONTRIBUTIONS	RIGHTS_LICENSING	STUDENT_FEES	SCHOOL_FUNDS	OTHER	TOTAL REVENUES
2016	$49,617,039	$37,581,954	$62,697,349	$0	$266,467	$13,687,807	$163,850,616
2015	$46,421,282	$35,713,067	$58,080,032	$0	$263,345	$11,999,301	$152,477,026
2014	$53,269,056	$35,267,267	$55,601,096	$0	$256,316	$13,506,085	$157,899,820
2013	$43,135,543	$31,285,461	$53,950,086	$0	$255,832	$14,887,203	$143,514,125
2012	$52,369,702	$28,518,000	$51,864,369	$0	$258,885	$7,120,231	$140,131,187
2011	$41,668,589	$27,961,623	$46,745,506	$0	$272,684	$6,090,650	$122,739,052
2010	$41,715,138	$19,297,426	$39,833,680	$0	$233,170	$5,794,617	$106,874,031
2009	$37,541,590	$12,752,000	$39,090,935	$0	$20,647	$5,787,858	$95,193,030
2008	$40,258,325	$15,138,000	$36,065,909	$0	$58,817	$7,506,054	$99,027,105
2007	$35,865,979	$13,888,996	$30,361,932	$0	$51,965	$8,911,110	$89,079,982
2006	$36,681,373	$13,961,314	$27,004,264	$0	$37,118	$7,768,372	$85,452,441
2005	$31,432,123	$16,342,620	$23,733,758	$0	$0	$6,915,685	$78,424,186
2017	$37,642,667	$33,011,723	$68,798,600	$0	$8,398,548	$26,455,881	$174,307,419
2016	$40,118,302	$29,651,491	$66,253,910	$0	$7,991,579	$19,994,463	$164,009,745
2015	$39,235,610	$29,354,594	$56,574,002	$0	$7,899,917	$15,847,551	$148,911,674
2014	$37,219,343	$32,196,689	$52,520,960	$0	$5,997,100	$25,300,181	$153,234,273
2013	$38,904,537	$34,233,035	$46,032,919	$0	$5,791,200	$18,814,859	$143,776,550
2012	$33,043,253	$30,390,598	$42,597,473	$0	$5,461,200	$13,407,421	$124,899,945
2011	$31,712,455	$30,082,101	$37,777,363	$0	$5,235,300	$19,691,397	$124,498,616
2010	$29,874,977	$33,739,056	$39,122,581	$0	$4,980,000	$22,825,539	$130,542,153
2009	$28,611,953	$29,641,806	$26,212,980	$0	$5,050,985	$10,784,788	$100,302,512
2008	$28,410,419	$29,860,400	$22,331,335	$0	$9,457,262	$33,710,425	$123,769,841
2007	$22,746,457	$26,979,612	$22,035,823	$3,786,115	$3,497,537	$8,544,233	$87,589,777
2006	$18,669,242	$22,397,071	$17,389,103	$2,803,256	$0	$6,472,090	$67,730,762
2005	$18,418,306	$20,262,542	$15,405,783	$2,550,605	$0	$5,649,956	$62,287,192
2017	$28,728,491	$54,804,606	$61,580,759	$3,273,422	$0	$9,465,201	$157,852,479
2016	$28,024,404	$33,301,406	$56,179,285	$3,233,143	$0	$3,103,030	$123,841,268
2015	$26,078,138	$33,888,847	$49,842,044	$3,212,769	$0	$3,129,481	$116,151,279
2014	$22,472,925	$31,866,597	$38,128,563	$3,274,712	$0	$7,752,790	$103,495,587
2013	$24,412,244	$28,654,025	$38,418,036	$3,237,955	$0	$3,398,629	$98,120,889
2012	$22,798,902	$27,840,989	$37,115,616	$3,243,812	$0	$671,294	$91,670,613
2011	$20,747,627	$28,639,938	$37,639,222	$3,197,387	$0	$2,116,893	$92,341,067
2010	$19,212,414	$27,354,228	$34,475,235	$3,202,545	$0	$5,491,512	$89,735,934
2009	$18,458,141	$28,287,421	$28,866,901	$3,126,914	$0	$4,768,419	$83,507,796
2008	$18,716,327	$30,542,918	$26,934,499	$3,073,606	$0	$6,287,045	$85,554,395
2007	$17,635,325	$27,534,646	$23,248,852	$3,066,838	$0	$6,878,960	$78,364,621
2006	$15,248,356	$30,192,007	$25,397,245	$3,012,718	$0	$5,387,603	$79,237,929
2005	$13,588,120	$28,305,817	$19,847,076	$3,028,878	$0	$4,017,493	$68,787,384
2017	$42,142,811	$45,504,839	$54,785,533	$0	$0	$12,805,298	$155,238,481
2016	$39,747,466	$46,641,355	$55,074,491	$0	$0	$8,909,904	$150,373,216
2015	$39,263,430	$32,147,093	$54,750,980	$0	$0	$8,107,846	$134,269,349
2014	$36,940,264	$33,363,102	$46,587,178	$0	$0	$12,336,148	$129,226,692
2013	$37,770,523	$34,487,196	$43,333,406	$0	$0	$8,214,536	$123,805,661
2012	$36,281,486	$32,580,273	$32,065,615	$0	$0	$5,529,242	$106,456,616
2011	$35,856,411	$28,671,113	$30,712,592	$0	$0	$9,098,728	$104,338,844
2010	$35,416,091	$26,601,241	$27,177,839	$0	$0	$9,317,116	$98,512,287
2009	$34,087,657	$14,166,960	$29,783,582	$0	$0	$3,449,636	$81,487,835
2008	$35,162,720	$13,255,316	$24,331,074	$150,000	$0	$4,198,898	$77,098,008
2007	$31,054,702	$12,096,410	$22,543,894	$150,000	$0	$3,585,565	$69,430,571
2006	$29,284,212	$10,820,720	$20,894,930	$150,000	$0	$3,372,110	$64,521,972
2005	$28,599,675	$10,096,423	$21,893,127	$150,000	$0	$2,642,799	$63,382,024
2017	$24,506,525	$45,134,633	$63,925,413	$2,535,847	$1,567,806	$11,495,251	$149,165,475
2016	$27,713,183	$43,146,263	$62,151,216	$2,431,579	$1,998,856	$4,000,012	$141,441,109
2015	$24,298,337	$58,086,263	$55,527,482	$2,438,373	$1,856,122	$4,898,665	$147,105,242
2014	$22,976,195	$42,962,368	$39,424,395	$2,438,135	$1,870,307	$14,939,905	$124,611,305
2013	$24,643,413	$48,407,105	$41,438,030	$2,473,374	$1,971,142	$11,078,180	$130,011,244
2012	$23,580,698	$46,125,987	$42,120,499	$2,420,030	$1,936,427	$4,588,465	$120,772,106
2011	$20,894,721	$41,995,792	$41,552,921	$2,481,471	$1,885,600	$14,703,752	$123,514,257
2010	$20,856,094	$39,350,660	$40,711,718	$2,507,391	$1,903,510	$11,775,034	$117,104,407
2009	$20,922,150	$40,727,882	$34,926,614	$2,524,419	$1,831,343	$-4,118,169	$96,814,239
2008	$21,122,966	$42,630,821	$31,328,945	$2,578,306	$1,852,881	$7,093,976	$106,607,895
2007	$18,541,732	$36,856,723	$34,204,387	$2,570,113	$1,685,957	$14,441,592	$108,300,504
2006	$14,827,357	$29,851,397	$26,678,799	$2,501,292	$1,454,066	$7,564,902	$82,877,813
2005	$13,312,918	$26,896,283	$24,485,700	$2,417,063	$1,336,264	$9,294,256	$77,742,484
2017	$41,855,036	$36,973,785	$62,210,369	$0	$0	$6,705,043	$147,744,233
2016	$45,222,768	$33,539,802	$57,059,301	$0	$0	$5,829,589	$141,651,460
2015	$41,835,448	$39,471,340	$49,867,113	$0	$0	$7,468,336	$138,642,237
2014	$37,686,975	$49,333,582	$40,020,312	$0	$0	$6,638,387	$133,679,256
2013	$38,917,845	$32,089,896	$42,557,035	$0	$0	$3,892,622	$117,457,398
2012	$31,502,735	$35,964,739	$41,334,563	$0	$0	$5,985,749	$114,787,786
2011	$35,079,579	$31,927,029	$37,465,603	$0	$0	$2,787,141	$107,259,352
2010	$31,721,048	$38,255,521	$37,251,354	$0	$0	$3,802,872	$111,030,795
2009	$35,450,193	$31,174,177	$29,811,575	$0	$0	$4,442,688	$100,878,633
2008	$28,519,228	$23,252,017	$28,695,163	$0	$0	$4,551,797	$85,018,205
2007	$28,300,547	$19,555,909	$25,272,622	$0	$0	$3,140,972	$76,270,050
2006	$21,479,485	$17,410,137	$22,972,397	$0	$0	$5,568,767	$67,430,786
2005	$23,359,796	$11,189,385	$21,843,648	$0	$0	$4,544,847	$60,937,676
2017	$32,991,096	$35,411,244	$64,172,670	$4,417,152	$1,746,360	$8,772,512	$147,511,034
2016	$32,165,386	$35,720,710	$54,378,734	$5,000,051	$1,955,376	$10,850,336	$140,070,593
2015	$30,181,317	$37,004,887	$46,317,251	$4,653,695	$1,778,544	$4,721,553	$124,657,247
2014	$29,833,441	$39,409,078	$37,215,634	$4,384,800	$0	$2,873,051	$113,716,004
2013	$28,494,559	$31,832,026	$33,756,636	$4,315,584	$0	$5,281,804	$103,680,609
2012	$29,241,252	$33,467,775	$35,743,125	$4,216,608	$0	$3,282,491	$105,951,251
2011	$28,976,730	$32,849,477	$34,602,823	$4,307,040	$0	$3,246,371	$103,982,441
2010	$24,732,134	$29,731,122	$28,699,519	$5,261,604	$0	$4,187,179	$92,611,558
2009	$23,514,179	$32,080,789	$22,299,732	$5,228,989	$0	$3,877,724	$87,001,413
2008	$21,991,623	$34,897,688	$24,348,059	$5,195,136	$0	$2,879,318	$89,311,824
2007	$21,796,102	$31,715,011	$18,379,403	$4,948,204	$0	$4,960,546	$81,799,266
2006	$20,099,721	$26,306,262	$15,403,292	$922,248	$0	$3,868,402	$66,599,925
2005	$15,842,982	$22,865,880	$15,438,860	$982,349	$0	$2,265,081	$57,395,152
2017	$36,781,724	$35,428,068	$64,551,741	$1,000,000	$0	$7,891,658	$145,653,191
2016	$36,844,478	$34,082,765	$61,453,383	$1,000,000	$0	$7,068,329	$140,448,955
2015	$34,674,844	$33,361,421	$54,496,151	$1,000,000	$0	$3,051,617	$126,584,033
2014	$32,572,479	$26,773,796	$41,390,000	$1,000,000	$250,000	$5,513,457	$107,499,732
2013	$34,788,050	$24,258,597	$36,153,598	$1,000,000	$11,434,056	$3,945,478	$111,579,779
2012	$33,922,547	$25,449,117	$38,688,487	$1,000,000	$0	$3,824,135	$102,884,286
2011	$35,689,435	$27,945,480	$35,310,449	$1,000,000	$0	$4,423,628	$104,368,992
2010	$36,109,495	$27,936,952	$34,334,543	$1,000,000	$12,552,020	$3,796,589	$115,729,599
2009	$31,722,592	$23,678,685	$29,261,402	$1,000,000	$11,695,239	$5,437,790	$102,795,708
2008	$29,403,335	$26,405,309	$26,414,207	$1,000,000	$12,382,629	$6,200,716	$101,806,196
2007	$27,975,950	$22,962,277	$33,073,059	$1,000,000	$6,010,715	$6,267,612	$97,289,613
2006	$21,116,829	$19,147,636	$22,438,715	$1,000,000	$5,032,607	$5,071,475	$73,807,262
2005	$26,266,777	$14,862,415	$18,021,984	$0	$7,546,536	$4,597,682	$71,295,394
2017	$26,492,333	$55,713,539	$54,172,744	$0	$271,222	$8,767,477	$145,417,315
2016	$25,745,016	$28,036,119	$44,778,495	$1,766,553	$453,200	$10,921,792	$111,701,175
2015	$25,848,889	$27,037,513	$42,170,326	$1,766,553	$440,000	$8,438,242	$105,701,523
2014	$26,625,906	$124,927,474	$35,580,734	$1,715,099	$440,000	$6,741,185	$196,030,398
2013	$25,257,158	$46,627,597	$31,027,271	$1,524,045	$813,332	$9,991,667	$115,241,070
2012	$23,349,642	$32,387,615	$28,303,172	$1,524,044	$951,816	$8,119,540	$94,635,829
2011	$19,982,098	$33,214,707	$22,481,100	$1,460,076	$959,779	$7,721,939	$85,819,699
2010	$18,102,199	$73,809,775	$21,116,658	$1,544,344	$1,140,798	$6,680,709	$122,394,483
2009	$17,153,036	$17,909,222	$17,930,450	$0	$1,398,094	$4,658,443	$59,049,245
2008	$17,410,851	$18,347,181	$17,091,388	$0	$1,168,411	$2,606,070	$56,623,901
2007	$15,545,126	$10,589,184	$17,924,452	$0	$0	$6,431,009	$50,489,771
2006	$13,418,338	$11,863,044	$11,887,952	$1,417,567	$0	$6,610,368	$45,197,269
2005	$12,151,382	$11,651,406	$9,165,238	$1,369,845	$0	$5,638,764	$39,976,635
2017	$25,046,047	$41,504,734	$36,709,768	$8,446,443	$0	$32,807,421	$144,514,413
2016	$20,206,022	$32,382,845	$36,140,389	$8,364,645	$0	$16,660,413	$113,754,314
2015	$26,169,018	$25,265,420	$49,576,951	$8,287,769	$0	$11,523,364	$120,822,522
2014	$25,550,753	$22,521,553	$40,493,922	$7,980,366	$0	$8,227,880	$104,774,474
2013	$20,302,766	$18,894,097	$36,775,949	$7,859,734	$0	$7,549,895	$91,382,441
2012	$20,379,815	$31,000,624	$36,511,620	$7,778,861	$0	$4,378,524	$100,049,444
2011	$17,980,170	$19,302,120	$27,432,139	$7,528,006	$0	$6,333,353	$78,575,788
2010	$15,775,516	$23,245,513	$25,882,320	$6,919,449	$350,000	$2,229,471	$74,402,269
2009	$18,260,626	$25,572,654	$25,722,130	$6,772,105	$700,000	$-2,610,191	$74,417,324
2008	$13,393,780	$25,190,569	$24,348,076	$6,590,629	$0	$3,935,440	$73,458,494
2007	$15,279,152	$22,751,726	$21,719,651	$6,066,563	$350,000	$11,090,753	$77,257,845
2006	$13,260,770	$16,053,230	$19,523,617	$6,011,806	$350,000	$11,813,369	$67,012,792
2005	$12,709,321	$16,414,490	$17,166,315	$4,796,773	$0	$5,490,034	$56,576,933
2017	$35,500,704	$30,779,975	$57,847,205	$0	$0	$19,889,171	$144,017,055
2016	$35,188,377	$26,183,278	$53,139,471	$0	$0	$17,736,950	$132,248,076
2015	$37,037,403	$27,700,192	$48,596,811	$0	$0	$12,386,213	$125,720,619
2014	$38,006,892	$24,169,749	$37,548,189	$0	$0	$17,866,160	$117,590,990
2013	$33,395,879	$24,480,517	$35,866,438	$0	$0	$11,008,630	$104,751,464
2012	$34,729,535	$25,504,557	$36,871,416	$0	$0	$11,146,773	$108,252,281
2011	$35,634,458	$34,286,648	$36,454,671	$0	$0	$9,742,248	$116,118,025
2010	$41,836,815	$20,993,951	$34,425,215	$0	$0	$9,358,743	$106,614,724
2005	$23,369,904	$13,733,690	$18,269,691	$0	$0	$5,412,211	$60,785,496
2017	$28,773,188	$24,110,895	$72,881,272	$0	$9,201,955	$8,453,358	$143,420,668
2016	$30,959,974	$21,499,693	$59,086,137	$0	$8,351,045	$12,891,877	$132,788,726
2015	$28,532,895	$22,816,373	$54,364,325	$0	$7,850,256	$10,331,694	$123,895,543
2014	$27,556,037	$38,456,619	$49,422,689	$0	$8,073,360	$4,402,213	$127,910,918
2013	$27,675,492	$58,907,876	$48,379,196	$0	$7,859,675	$6,319,166	$149,141,405
2012	$27,569,088	$19,703,260	$43,774,044	$0	$7,127,453	$5,629,195	$103,803,040
2011	$27,333,229	$14,911,158	$41,807,799	$0	$7,237,901	$4,998,104	$96,288,191
2010	$25,732,357	$19,247,563	$39,975,708	$0	$5,485,202	$5,598,082	$96,038,912
2009	$26,036,340	$16,209,704	$38,821,608	$0	$5,318,624	$5,419,859	$91,806,135
2008	$26,936,910	$18,777,294	$38,214,675	$0	$5,262,870	$5,926,375	$95,118,124
2007	$25,426,650	$13,749,727	$32,540,397	$0	$6,027,947	$6,567,660	$84,312,381
2006	$21,538,228	$19,106,871	$26,791,269	$0	$5,730,773	$5,781,100	$78,948,241
2005	$21,072,976	$20,269,398	$23,535,183	$0	$5,454,018	$5,482,981	$75,814,556
2017	$28,018,240	$38,810,243	$56,169,427	$0	$3,416,748	$9,618,187	$136,032,845
2016	$25,236,246	$30,346,425	$47,696,767	$0	$3,229,616	$15,822,038	$122,331,092
2015	$29,958,915	$31,209,408	$41,129,812	$0	$2,947,429	$7,926,981	$113,172,545
2014	$21,346,746	$30,203,751	$31,593,526	$2,592,673	$3,039,303	$9,843,480	$98,619,479
2013	$20,086,353	$25,887,641	$31,219,646	$2,537,697	$0	$10,753,085	$90,484,422
2012	$20,049,785	$25,165,877	$30,831,943	$2,338,268	$0	$9,222,479	$87,608,352
2011	$19,763,502	$24,393,202	$29,729,826	$2,248,275	$0	$7,678,421	$83,813,226
2010	$19,044,853	$23,987,283	$27,417,438	$2,146,293	$0	$7,283,326	$79,879,193
2009	$21,688,752	$24,537,424	$21,843,068	$2,098,087	$0	$5,949,809	$76,117,140
2008	$20,821,727	$18,039,591	$18,262,749	$1,987,931	$0	$7,433,955	$66,545,953
2007	$18,918,142	$17,390,312	$16,771,162	$1,197,375	$0	$6,267,540	$60,544,531
2006	$13,892,489	$16,295,776	$15,453,797	$597,515	$280,000	$5,538,680	$52,058,257
2005	$11,273,772	$16,247,202	$12,572,702	$574,387	$280,000	$5,332,267	$46,280,330
2017	$32,597,109	$18,716,315	$72,699,939	$629,285	$0	$6,064,096	$130,706,744
2016	$37,195,389	$25,039,404	$65,400,012	$912,981	$0	$3,632,460	$132,180,246
2015	$31,682,716	$24,238,082	$56,285,185	$901,107	$0	$3,387,600	$116,494,690
2014	$32,793,626	$19,058,601	$40,062,981	$861,548	$0	$3,908,733	$96,685,489
2013	$28,856,512	$19,070,356	$42,758,445	$847,079	$0	$4,188,332	$95,720,724
2012	$30,556,623	$15,164,441	$37,871,855	$827,172	$0	$3,953,361	$88,373,452
2011	$28,397,724	$14,640,430	$37,539,965	$819,124	$0	$3,481,068	$84,878,311
2010	$27,219,554	$13,161,669	$35,158,714	$738,194	$0	$3,422,725	$79,700,856
2009	$26,203,849	$12,300,371	$28,721,552	$686,003	$0	$4,145,979	$72,057,754
2008	$27,263,673	$11,980,590	$28,276,686	$568,996	$0	$3,637,298	$71,727,243
2007	$19,885,470	$10,042,563	$26,508,372	$530,813	$0	$4,139,297	$61,106,515
2006	$19,138,524	$8,102,747	$24,054,175	$638,187	$0	$5,081,686	$57,015,319
2005	$18,932,315	$8,060,667	$21,631,896	$639,686	$0	$5,271,862	$54,536,426
2017	$28,253,233	$31,999,038	$52,916,024	$650,000	$0	$16,863,172	$130,681,467
2016	$25,667,416	$27,799,738	$48,862,045	$650,000	$0	$10,269,821	$113,249,020
2015	$26,642,165	$25,345,910	$45,114,329	$650,000	$0	$8,217,141	$105,969,545
2014	$25,890,094	$30,356,325	$41,083,071	$683,917	$0	$7,945,547	$105,958,954
2013	$26,108,593	$30,571,923	$37,345,255	$678,842	$0	$12,449,169	$107,153,782
2012	$25,244,298	$26,005,699	$38,150,778	$543,574	$0	$7,958,625	$97,902,974
2011	$23,180,905	$26,622,140	$35,046,759	$564,680	$0	$7,939,077	$93,353,561
2010	$21,815,895	$26,753,591	$31,632,340	$525,707	$0	$8,007,560	$88,735,093
2009	$21,922,358	$21,571,694	$29,234,515	$525,941	$0	$6,716,635	$79,971,143
2008	$19,103,235	$21,404,864	$30,616,266	$1,487,795	$800,000	$8,103,704	$81,515,865
2007	$21,731,819	$21,844,854	$27,061,574	$1,494,706	$1,573,359	$7,125,758	$80,832,070
2006	$20,086,445	$20,978,267	$22,548,993	$1,495,060	$1,884,403	$6,328,059	$73,321,227
2005	$18,971,349	$10,357,165	$22,751,987	$1,505,016	$2,127,182	$5,963,558	$61,676,257
2017	$40,766,509	$24,907,874	$60,511,806	$0	$2,492,189	$1,002,430	$129,680,808
2016	$37,424,186	$25,860,510	$58,473,384	$0	$2,335,332	$887,630	$124,981,042
2015	$37,622,177	$24,393,873	$49,755,396	$0	$1,993,582	$407,819	$114,172,847
2014	$34,284,318	$21,276,161	$35,656,034	$0	$1,936,405	$3,641,054	$96,793,972
2013	$39,434,328	$19,436,047	$36,470,974	$0	$2,027,439	$2,402,052	$99,770,840
2012	$38,639,217	$22,907,002	$35,231,486	$0	$1,949,180	$1,030,597	$99,757,482
2011	$35,931,551	$19,962,064	$32,845,653	$0	$1,850,500	$1,178,344	$91,768,112
2010	$32,894,044	$13,124,745	$29,402,705	$0	$1,694,973	$956,153	$78,072,620
2009	$31,926,509	$7,586,392	$21,717,435	$0	$1,483,456	$3,121,986	$65,835,778
2008	$28,645,905	$12,768,088	$19,936,933	$0	$1,518,452	$3,305,538	$66,174,916
2007	$28,791,807	$12,226,457	$19,823,918	$0	$1,657,045	$2,917,505	$65,416,732
2006	$21,190,252	$7,756,296	$15,210,516	$0	$1,654,696	$3,703,211	$49,514,971
2005	$23,973,023	$3,315,302	$15,535,501	$0	$1,429,833	$3,068,800	$47,322,459
2017	$26,480,596	$35,367,278	$53,221,324	$0	$3,742,614	$9,933,371	$128,745,183
2016	$25,381,191	$23,186,969	$48,687,243	$0	$1,986,414	$7,912,743	$107,154,560
2015	$24,752,152	$22,777,825	$45,870,090	$0	$3,895,000	$6,245,050	$103,540,117
2014	$28,488,448	$24,031,168	$39,664,972	$0	$3,549,679	$4,540,920	$100,275,187
2013	$19,895,534	$26,598,771	$31,754,727	$0	$3,335,999	$3,487,855	$85,072,886
2012	$22,682,731	$23,501,105	$28,838,597	$0	$3,065,500	$4,506,850	$82,594,783
2011	$20,534,924	$15,840,217	$24,518,765	$0	$2,458,983	$6,878,447	$70,231,336
2010	$21,622,833	$15,732,042	$20,724,747	$0	$2,182,515	$3,772,273	$64,034,410
2009	$21,339,631	$12,488,233	$18,790,492	$0	$1,996,737	$-595,231	$54,019,862
2008	$22,556,942	$12,682,342	$18,810,644	$0	$1,849,894	$4,829,194	$60,729,016
2007	$16,633,979	$17,388,883	$16,474,257	$0	$1,704,282	$7,447,050	$59,648,451
2006	$18,760,681	$11,664,178	$15,180,747	$0	$1,584,626	$5,251,602	$52,441,834
2005	$13,611,228	$10,000,542	$13,552,450	$0	$1,460,173	$4,573,571	$43,197,964
2017	$26,802,465	$32,363,526	$57,429,487	$0	$1,353,246	$8,072,653	$126,021,377
2016	$24,684,212	$30,441,924	$53,914,039	$0	$1,433,603	$12,560,717	$123,034,495
2015	$25,294,320	$26,391,940	$48,173,291	$0	$1,086,367	$7,741,356	$108,687,274
2014	$24,076,780	$29,724,939	$41,708,432	$0	$1,094,958	$8,072,347	$104,677,456
2013	$26,536,714	$24,113,610	$38,227,981	$0	$1,772,415	$7,292,006	$97,942,726
2012	$23,988,215	$22,297,820	$36,216,822	$0	$4,206,730	$7,237,120	$93,946,707
2011	$22,737,191	$18,025,593	$33,459,906	$0	$3,650,280	$6,637,229	$84,510,199
2010	$23,503,885	$21,292,589	$28,904,764	$0	$3,348,785	$6,495,869	$83,545,892
2009	$21,703,295	$19,377,785	$27,520,350	$0	$3,669,246	$7,073,657	$79,344,333
2008	$21,870,622	$19,501,782	$26,568,042	$0	$3,536,893	$9,913,347	$81,390,686
2007	$22,242,662	$20,408,028	$19,741,853	$0	$3,773,005	$10,788,160	$76,953,708
2006	$19,444,048	$17,975,933	$16,540,850	$0	$3,419,827	$11,016,474	$68,397,132
2005	$18,530,242	$13,271,677	$16,851,751	$0	$3,154,288	$10,362,189	$62,170,147
2017	$29,477,742	$39,268,342	$41,700,556	$1,986,176	$5,397,542	$2,614,945	$120,445,303
2016	$29,054,868	$30,391,706	$38,148,302	$1,987,361	$5,415,733	$7,148,534	$112,146,504
2015	$29,586,555	$29,166,033	$32,739,935	$2,001,061	$5,138,220	$5,693,403	$104,325,207
2014	$26,928,635	$29,379,612	$18,501,648	$1,960,346	$5,808,253	$6,166,854	$88,745,348
2013	$25,888,524	$28,935,662	$23,383,096	$1,926,432	$8,987,690	$7,071,926	$96,193,330
2012	$23,432,735	$28,312,576	$19,512,356	$1,853,010	$8,941,175	$5,788,649	$87,840,501
2011	$26,467,598	$28,224,908	$16,380,554	$1,861,502	$8,199,510	$6,602,251	$87,736,323
2010	$18,395,654	$16,781,073	$12,600,507	$1,929,017	$6,613,923	$7,167,221	$63,487,395
2009	$20,711,850	$14,265,682	$13,678,483	$1,873,531	$6,606,288	$5,380,814	$62,516,648
2008	$17,107,971	$14,558,756	$12,403,151	$1,926,381	$6,482,302	$4,062,335	$56,540,896
2007	$17,287,093	$14,129,020	$13,502,403	$1,857,286	$6,072,623	$5,970,695	$58,819,120
2006	$15,351,891	$13,137,225	$12,827,473	$1,857,752	$5,343,929	$3,501,976	$52,020,246
2005	$12,767,307	$11,507,810	$8,410,424	$1,633,024	$3,052,369	$3,812,925	$41,183,859
2017	$37,258,695	$26,599,584	$52,022,217	$0	$0	$4,324,594	$120,205,090
2016	$37,198,005	$21,518,119	$48,303,151	$0	$0	$5,123,686	$112,142,961
2015	$36,618,329	$19,654,976	$40,746,990	$0	$0	$5,137,104	$102,157,399
2014	$40,450,062	$11,833,760	$39,955,724	$0	$0	$2,558,146	$94,797,692
2013	$32,491,416	$12,657,818	$39,422,253	$0	$0	$2,344,514	$86,916,001
2012	$32,450,880	$9,783,535	$36,919,660	$0	$0	$2,477,177	$81,631,252
2011	$31,716,096	$12,638,521	$35,218,058	$0	$0	$4,107,081	$83,679,756
2010	$31,504,769	$6,103,706	$31,309,933	$0	$0	$4,565,325	$73,483,733
2009	$33,982,799	$5,160,306	$32,436,216	$0	$0	$3,302,062	$74,881,383
