"","BsmtFinSF1","BsmtFinSF2","BsmtUnfSF","X1stFlrSF","X2ndFlrSF","GarageArea","WoodDeckSF","ScreenPorch","SalePrice","homeage","MSZoningisFV","MSZoningisRL","MSZoningisRM","NeighborhoodisNoRidge","NeighborhoodisNridgHt","NeighborhoodisStoneBr","Condition1isNorm","YearRemodAddis2008","YearRemodAddis2009","RoofMatlisCompShg","RoofMatlisRoll","RoofMatlisTar&Grv","BsmtQualisFa","BsmtQualisGd","BsmtQualisTA","BsmtExposureisGd","BedroomAbvGris5","FunctionalisTyp","Fireplacesis2","GarageTypeisAttchd","GarageTypeisDetchd","GarageYrBltis1934","GarageFinishisRFn","GarageFinishisUnf","GarageCarsis3","MoSoldis5"
"65",739,0,318,1057,977,645,576,0,148683.524239817,13,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
"66",0,0,1143,1143,1330,852,192,0,178550.306689722,6,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
"67",912,0,1035,2207,0,576,301,0,121996.678979294,40,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
"69",0,0,747,747,0,220,0,0,54167.5130340578,65,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
"72",565,0,280,845,0,360,0,0,71330.9978628242,28,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"74",320,362,404,1086,0,490,0,0,98553.3269399498,56,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1
"75",0,0,840,840,765,379,0,0,73047.8075455529,95,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1
"78",336,41,295,1072,213,240,0,0,74230.8051996633,62,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
"80",0,0,440,682,548,440,74,0,74231.5349056922,100,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
"85",0,0,384,804,670,400,120,0,113709.21483281,15,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"86",0,0,1288,1301,1116,462,127,0,141574.41641392,19,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
"89",0,0,1013,1013,0,0,0,0,57204.0029342289,95,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"90",588,0,402,990,0,0,0,0,68574.0916429487,16,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"93",713,0,163,964,0,432,0,0,108513.857916534,89,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
"94",1046,0,168,1260,1031,506,0,99,76438.284220261,100,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"99",108,0,350,835,0,366,0,0,56452.2162595986,90,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
"101",1200,0,410,1610,0,480,168,0,143299.523965972,33,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0
"105",224,0,816,1226,592,240,0,184,93363.7385154339,79,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0
"106",0,0,1053,1053,939,648,140,0,152169.017170752,7,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
"107",0,0,641,1047,0,273,0,0,55480.6566690523,125,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
"109",0,0,793,997,520,0,0,0,63802.7551694102,91,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"111",444,0,550,1216,639,325,182,0,74377.5161495374,56,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
"115",774,150,104,1436,884,180,224,0,143369.373649869,65,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"122",0,0,732,772,351,264,0,0,55081.8516315244,71,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"125",0,0,1362,1586,0,435,192,0,121173.170519438,31,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
"126",490,0,30,520,0,0,53,0,45786.8014803496,75,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"128",116,0,556,840,0,0,0,0,47921.2109194263,80,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"130",567,28,413,1053,0,750,0,0,81250.169271186,52,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"133",405,0,658,1327,0,624,0,0,83286.8326694328,51,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"134",1005,0,262,1296,0,471,192,0,146852.680061411,9,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"135",570,0,891,1721,0,440,0,0,97500.2031254232,42,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"139",668,0,336,1004,848,660,224,0,150766.28603642,11,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0
"146",0,0,970,970,739,380,0,0,70787.20820696,6,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"147",209,0,506,875,0,180,48,0,70970.4019628385,79,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"149",680,0,400,1080,0,0,0,0,84264.1232049052,6,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"150",0,0,896,896,448,240,200,0,62619.4534138492,74,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
"154",429,1080,93,1252,0,564,409,0,139953.428263446,50,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0
"156",0,0,572,572,524,0,0,0,47211.8137105497,86,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"159",222,0,769,991,956,678,0,0,173369.517163514,6,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1
"162",1016,0,556,1572,1096,726,400,0,245662.932590091,7,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"165",370,0,779,1149,467,216,0,0,85614.0271824536,84,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"166",351,181,112,808,547,0,140,0,78740.6437588004,70,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"167",379,768,470,1867,0,303,476,142,128422.632123232,55,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
"171",360,0,360,854,0,660,237,0,70646.3175950564,69,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
"176",477,0,725,2158,0,576,0,0,133848.899464604,60,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
"177",831,0,320,1164,896,521,0,192,117790.890465637,22,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
"180",0,0,968,968,0,480,0,0,55248.313545229,87,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"182",352,0,441,901,901,216,0,0,108387.725807762,90,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
"183",0,0,0,1340,0,252,116,0,66098.2219578293,53,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
"185",0,0,504,936,316,576,104,0,68815.6661302296,102,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
"186",0,0,1107,1518,1518,840,0,410,257381.428439835,118,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0
"187",611,0,577,1217,0,497,168,0,115479.607502837,20,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
"188",0,0,660,808,704,180,0,0,89598.5982797069,94,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
"190",1153,0,440,1593,0,682,0,224,174081.35564334,9,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"191",297,0,556,1549,1178,440,0,0,181714.345049582,78,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
"192",626,0,99,725,754,484,0,0,101350.607002005,38,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
"198",1036,184,140,1360,1360,795,0,0,128589.5639993,92,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"199",0,0,755,929,929,0,0,0,68985.6456791106,98,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"200",1088,0,625,1713,0,856,0,170,184035.936882837,6,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"201",0,0,1121,1121,0,440,132,0,97495.751970807,7,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
"203",617,0,0,865,445,398,0,0,60743.7859649313,86,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
"205",312,0,408,720,564,240,0,0,74851.8274052954,63,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"209",1065,0,92,1180,882,454,60,154,152082.486905533,22,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0
"211",468,0,396,864,0,0,0,0,58566.5537168845,85,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"216",360,0,710,1236,0,447,0,0,72919.6609195091,53,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
"219",341,0,457,1137,817,431,0,0,186494.560824767,71,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1
"230",16,0,1357,1555,0,430,143,0,129905.186084961,5,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
"232",689,0,773,1490,1304,810,0,0,267319.377006554,15,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
"238",402,0,594,1014,730,457,370,0,135959.792250641,17,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
"240",94,0,641,798,689,220,0,0,77719.3163451288,65,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"242",329,0,357,866,0,0,58,0,61306.1256193028,65,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"243",0,0,540,889,551,352,0,0,43016.8419103834,110,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
"245",695,0,253,1222,888,463,0,0,139430.17268937,16,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1
"247",0,0,1020,908,1020,440,0,0,74598.8271104117,100,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
"250",697,0,747,1444,700,389,0,0,152576.729019323,52,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0
"251",0,0,728,1306,0,0,263,0,52031.2595645698,70,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"254",270,580,452,1302,0,309,333,0,88993.5282554452,46,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
"263",506,0,0,1212,0,492,292,0,81791.8370663272,33,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
"264",234,692,0,926,0,484,0,0,89411.6028749269,81,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"265",0,0,680,764,0,504,0,0,43831.2078199678,85,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
"268",378,0,342,1052,720,240,262,0,108311.309028155,71,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"269",403,125,212,778,0,924,0,0,71217.0731851467,70,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"272",226,1063,96,1363,0,439,81,0,144324.721659465,56,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0
"273",524,0,628,1164,1106,671,132,0,199456.652567145,11,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
"274",620,620,0,1632,0,338,289,0,94585.4909939642,52,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"276",0,0,952,952,596,672,74,144,137962.595311964,85,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"283",904,0,410,1314,0,626,172,0,141197.765332716,3,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
"287",600,0,312,1085,649,440,0,128,86155.0465724922,48,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
"290",0,0,698,698,698,384,0,259,84847.5975270855,95,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"292",210,0,570,936,780,0,0,0,80934.7697914992,98,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"293",292,0,476,1148,568,281,0,160,87699.9189947313,61,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
"294",795,0,0,1468,795,539,0,0,128589.5639993,33,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
"298",649,0,326,975,975,576,0,198,131645.625399343,13,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
"302",281,0,747,1210,1242,683,208,0,146790.403096343,12,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"303",0,0,1541,1541,0,843,468,0,113364.264265925,9,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0
"305",0,0,1470,1675,1818,870,302,0,176616.036736136,130,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1
"306",1464,0,536,2000,0,888,168,0,169004.591134856,6,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
"307",700,0,0,1122,1121,746,127,0,123934.16617093,20,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0
"308",0,0,319,1035,371,0,0,0,53301.4120407592,90,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"309",262,0,599,861,0,539,158,0,56303.616398343,70,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"310",1274,0,622,1944,0,708,208,0,196038.924617588,7,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
"311",518,0,179,697,804,420,190,0,89814.0263910056,17,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
"312",680,0,292,972,0,240,0,0,89077.8418868307,62,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
"313",507,0,286,793,325,410,0,271,65028.3922963863,71,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1
"315",16,0,712,832,809,546,0,0,96522.479434747,85,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"316",425,0,291,716,716,432,100,0,125036.482793388,6,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"323",28,1474,0,1553,1177,576,201,0,166996.776573848,24,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0
"324",256,0,906,1163,0,220,142,0,68344.9340519459,55,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
"325",0,0,710,1898,1080,564,240,0,163856.726928025,43,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
"326",116,0,604,803,0,360,0,0,50187.7714898846,69,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"329",0,0,844,1445,689,441,0,0,142282.894213166,94,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0
"330",0,0,596,596,596,189,0,0,51739.234259333,90,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"332",846,0,210,1056,0,308,0,0,77118.1127699827,52,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
"333",1124,479,1603,1629,0,880,0,0,191128.668627306,7,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0
"337",1249,0,673,1922,0,676,178,0,208521.499881216,5,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
"338",810,0,726,1536,0,532,192,0,140278.196573017,8,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
"339",213,0,995,1621,0,440,108,0,109826.934445523,26,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1
"340",585,0,630,1215,0,297,0,234,103464.388225085,52,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
"343",0,0,0,1040,0,400,0,0,47456.0827851026,61,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
"346",0,0,972,972,605,312,0,0,76170.4000304247,71,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"347",498,0,460,958,0,301,0,0,83178.6886866003,50,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
"349",573,0,191,764,862,474,0,0,96751.2926349649,7,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"353",236,380,0,616,495,200,48,0,56576.9178086271,69,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"354",0,0,624,720,0,484,106,0,72027.586769777,82,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
"355",388,0,552,1192,403,240,0,0,75859.7894348988,70,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0
"362",399,0,484,988,517,240,0,0,87493.8150923814,70,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"364",162,0,321,483,504,264,250,0,79630.1919897426,38,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
"366",456,0,216,672,672,468,0,0,97508.5568733583,90,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"370",72,258,733,1287,0,576,364,182,112816.512994791,51,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"375",0,0,847,847,1081,434,100,0,121270.048231778,7,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"376",350,0,333,904,0,0,0,0,41630.552730896,88,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"378",0,0,1580,1580,886,610,159,0,196136.118466216,6,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
"381",218,0,808,1026,665,308,0,0,86378.6923490243,86,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
"384",0,0,784,784,0,360,0,0,51147.1085058987,82,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
"386",24,0,1232,1269,0,430,146,144,132054.059630661,6,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"387",0,0,658,658,526,0,0,0,43930.7737782093,100,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
