year,songwriters,title,artists,link,win
2012,"Jeff Bhasker,Malik Jones,Warren Trotter,Kanye West",All of the Lights,"Kanye West,Rihanna,Kid Cudi,Fergie",https://en.wikipedia.org/wiki/All_of_the_Lights,"1	"
2012,"Mikkel S. Eriksen, Tor Erik Hermansen,Cameron Thomaz",Black and Yellow,Wiz Khalifa,https://en.wikipedia.org/wiki/Black_and_Yellow,0
2012,"Andre Young,Alexander Grant,Skylar Grey,Marshall Mathers",I Need a Doctor,"Dr. Dre,Eminem,Skylar Grey",https://en.wikipedia.org/wiki/I_Need_a_Doctor,0
2012,"Chris Brown,Wesley Pentz,Jean Baptiste,Ryan Buendia,Dwayne Carter,Trevor Smith,Nick van de Wall,",Look at Me Now,"Chris Brown,Busta Rhymes,Lil Wayne",https://en.wikipedia.org/wiki/Look_at_Me_Now,0
2012,"Shawn Carter,Kanye West",Otis,"Jay-Z,Kanye West",https://en.wikipedia.org/wiki/Otis_(song),0
2012,"Dustin William Brower,Jonathon Keith Brown,Daniel Johnson,Kane,Wasalu Muhammad Jaco",The Show Goes On,Lupe Fiasco,https://en.wikipedia.org/wiki/The_Show_Goes_On,0
2013,"Shawn Carter,Mike Dean,Chauncey Hollis,Kanye West",Niggas in Paris,"Jay-Z,Kanye West",https://en.wikipedia.org/wiki/Niggas_in_Paris,"1	"
2013,"Nasir Jones,Ernest Wilson",Daughters,Nas,https://en.wikipedia.org/wiki/Daughters_(Nas_song),0
2013,"Olubowale Akintimehin,S. Joseph Dew,Jerrin Howard,Walker Johnson,Miguel Jontel Pimentel",Lotus Flower Bomb,"Wale,Miguel",https://en.wikipedia.org/wiki/Lotus_Flower_Bomb,0
2013,"Sean Anderson,Tauheed Epps,Stephan Taft,James Thomas,Terrence Thornton,Kanye West",Mercy,"Kanye West,Big Sean,Pusha T,2 Chainz",https://en.wikipedia.org/wiki/Mercy_(GOOD_Music_song),0
2013,"Dwayne Carter,Aubrey Graham,Michael Stevenson",The Motto,"Drake,Lil Wayne,Tyga",https://en.wikipedia.org/wiki/The_Motto,0
2013,"Calvin Broadus,Chris Brody Brown,Philip Lawrence,Ari Levine,Peter Hernandez,Cameron Thomaz","Young, Wild & Free","Snoop Dogg,Wiz Khalifa,Bruno Mars","https://en.wikipedia.org/wiki/Young,_Wild_%26_Free",0
2014,"Ben Haggerty,Ryan Lewis",Thrift Shop,"Macklemore,Ryan Lewis,Wanz",https://en.wikipedia.org/wiki/Thrift_Shop,"1	"
2014,"Tauheed Epps,Aubrey Graham,Kendrick Lamar,Rakim Mayers,Noah Shebib",Fuckin' Problems,"ASAP Rocky,Drake,2 Chainz,Kendrick Lamar",https://en.wikipedia.org/wiki/Fuckin%27_Problems,0
2014,"Shawn Carter,Terius Nash,Jerome Harmon,Timothy Mosley,Justin Timberlake,Ernest Wilson",Holy Grail,"Jay-Z,Justin Timberlake",https://en.wikipedia.org/wiki/Holy_Grail_(Jay-Z_song),0
2014,"Christopher Breaux,Benjamin Bronfman,Mike Dean,Louis Johnson,Malik Jones,Elon Rutberg,Sakiya Sandifer,Che Smith,Kanye West,Cydel Young",New Slaves,Kanye West,https://en.wikipedia.org/wiki/New_Slaves,0
2014,"William Coleman,Aubrey Graham,Noah Shebib",Started from the Bottom,Drake,https://en.wikipedia.org/wiki/Started_from_the_Bottom,0
2015,"Kendrick Duckworth,Columbus Smith,Ronald Isley",i,Kendrick Lamar,https://en.wikipedia.org/wiki/I_(Kendrick_Lamar_song),"1	"
2015,"Ernest Clark,Jamal Jones,Onika Maraj,Marcos Palacios,Jonathon Solone Myvett",Anaconda,Nicki Minaj,https://en.wikipedia.org/wiki/Anaconda_(Nicki_Minaj_song),0
2015,"Mike Dean,Malik Jones,Che Pope,Elon Rutberg,Sakiya Sandifer,John Stephens,Kanye West,Charlie Wilson,Cydel Young",Bound 2,"Kanye West,Charlie Wilson",https://en.wikipedia.org/wiki/Bound_2,0
2015,"Noel Fisher,Cameron Thomaz",We Dem Boyz,Wiz Khalifa,https://en.wikipedia.org/wiki/We_Dem_Boyz,0
2015,"Adam Feeney,Aubrey Graham,Anderson Hernandez,Paul Jefferies,Matthew Samuels,Noah Shebib",0 to 100 / The Catch Up,Drake,https://en.wikipedia.org/wiki/0_to_100_/_The_Catch_Up,0
2016,"Kendrick Duckworth,Kawan Prather,Mark Spears,Pharrell Williams",Alright,Kendrick Lamar,https://en.wikipedia.org/wiki/Alright_(Kendrick_Lamar_song),"1	"
2016,"Ernest Brown,Tyler Bryant,Sean Combs,Mike Dean,Rennard East,Noah Goldstein,Malik Yusef Jones,Karim Kharbouch,Allan Kyariga,Kendrick Lamar,Paul McCartney,Victor Mensah,Charles Njapa,Che Pope,Patrick Reynolds,Allen Ritter,Kanye West,Mario Winans,Cydel Young",All Day,"Kanye West,Theophilus London,Allan Kingdom,Paul McCartney",https://en.wikipedia.org/wiki/All_Day_(Kanye_West_song),0
2016,"Richard Dorfmeister,Aubrey Graham,Markus Kienzl,M. O'Brien,Matthew Samuels,Phillip Thomas",Energy,Drake,https://en.wikipedia.org/wiki/Energy_(Drake_song),0
2016,"Lonnie Lynn,Che Smith,John Stephens",Glory,"Common,John Legend",https://en.wikipedia.org/wiki/Glory_(Common_and_John_Legend_song),0
2016,"Tony Fadd,Willie J. Maxwell",Trap Queen,Fetty Wap,https://en.wikipedia.org/wiki/Trap_Queen,0
2017,"Aubrey Graham,Paul Jefferies",Hotline Bling,Drake,https://en.wikipedia.org/wiki/Hotline_Bling,"1	"
2017,"Joseph Cartagena,Edward Davadi,Shandel Green,Karim Kharbouch,Andre Christopher Lyon,Reminisce Mackie,Marcello Valenzano",All the Way Up,"Fat Joe,Remy Ma,French Montana,Infared",https://en.wikipedia.org/wiki/All_the_Way_Up,0
2017,"Chancellor Bennett,Ross Birchard,Ernest Brown,Andrew Dawson,Kasseem Dean,Mike Dean,Noah Goldstein,Kejuan Muchita,Patrick Reynolds,Kanye West,Cydel Young",Famous,"Kanye West,Rihanna",https://en.wikipedia.org/wiki/Famous_(Kanye_West_song),0
2017,"Chancellor Bennett,Dwayne Carter,Tauheed Epps",No Problem,"Chance the Rapper,Lil Wayne,2 Chainz",https://en.wikipedia.org/wiki/No_Problem_(Chance_the_Rapper_song),0
2017,"Chancellor Bennett,Kasseem Dean,Mike Dean,Kirk Franklin,Noah Goldstein,Samuel Griesemer,Terius Nash,Jerome Potter,Kelly Price,Nico Segal,Derek Watkins,Kanye West,Cydel Young",Ultralight Beam,"Kanye West,Chance The Rapper,Kelly Price,Kirk Franklin,The-Dream",https://en.wikipedia.org/wiki/Ultralight_Beam,0
